dataset,model,seed,macro_auroc,mAP,alignment,uniformity,effective_rank,params,final_loss,secs
mediamill,mlp_ln,2024,0.6758167369379999,0.11219299898558652,0.14120812714099884,-3.623614549636841,51.16876983642578,359864,2.175894431769848,7.1
bibtex,kan,42,0.8662401401786466,0.19484556761727279,0.23712635040283203,-3.6349658966064453,55.958885192871094,2336256,2.2316585332155228,89.0
bibtex,mlp,42,0.7868366346225043,0.2140503477767203,0.2315625250339508,-3.7820968627929688,61.64154052734375,2335663,1.8828947246074677,21.4
bibtex,mlp_ln,42,0.8214957874854504,0.15745609471761743,0.24246415495872498,-3.7941372394561768,62.25509262084961,2335663,1.8448407649993896,21.4
bibtex,kan,1337,0.8740074419916086,0.20348428910698976,0.22791221737861633,-3.631843090057373,56.080265045166016,2336256,2.2192206233739853,90.4
bibtex,mlp,1337,0.7776876098458945,0.19942921680863282,0.24652719497680664,-3.7804787158966064,61.78679275512695,2335663,1.884784273803234,21.2
bibtex,mlp_ln,1337,0.8255499198921271,0.15871732299696412,0.2541297972202301,-3.79044771194458,62.1811637878418,2335663,1.8472022265195847,21.4
bibtex,kan,2024,0.8762199384789159,0.20440287171154448,0.22239597141742706,-3.636054754257202,55.778663635253906,2336256,2.215715192258358,88.2
bibtex,mlp,2024,0.7871066396970541,0.17904984087162476,0.23990318179130554,-3.77660870552063,61.80818557739258,2335663,1.8754462897777557,21.1
bibtex,mlp_ln,2024,0.8208822352783217,0.1587132703414752,0.24912847578525543,-3.7979726791381836,62.27180862426758,2335663,1.8390419036149979,21.4
